,super_catalog_id,precio_minimo_orders
0,42270010,58.67
1,42270027,83.58
2,42270034,74.45
3,42277392,28.805
4,42332862,42.0
5,42332886,45.27
6,42332909,40.38
7,42332930,40.38
8,42332947,40.74
9,42398011,53.86
10,75000950,14.82
11,75001865,33.67
12,75001872,19.2
13,75003371,13.18
14,75003388,13.18
15,75003401,13.18
16,75003463,13.87
17,75003487,13.87
18,75003845,16.7
19,75003852,38.92
20,75004088,182.29
21,75004705,16.96
22,75004729,16.96
23,75004743,16.96
24,75004958,127.43
25,75004972,145.65
26,75004989,103.8
27,75004996,145.7
28,75005689,139.5
29,75005702,79.68
30,75005962,476.81
31,75006433,11.84
32,75006440,10.5
33,75006471,4.75
34,75012571,33.66
35,75013332,10.5
36,75013394,10.5
37,75013400,10.5
38,75014032,64.67
39,75015374,10.5
40,75015961,260.29
41,75016647,251.6
42,75016845,6.71
43,75016951,106.8
44,75017095,17.39
45,75017125,7.61
46,75017156,19.43
47,75017255,64.67
48,75018337,487.83
49,75018344,485.47
50,75020286,59.5
51,75024659,33.6
52,75030100,22.54
53,75030131,22.54
54,75030155,121.22
55,75034450,27.29
56,75034481,32.72
57,75034498,30.43
58,75049638,32.67
59,75049645,23.32
60,75049737,35.96
61,75049805,30.75
62,75049812,26.97
63,75050733,70.83
64,75050740,46.32
65,75050764,30.33
66,75050795,46.22
67,75050801,40.93
68,75051549,21.18
69,75052249,22.93
70,75052805,26.977
71,75052812,71.47
72,75053086,37.02
73,75055813,113.37
74,75062897,46.81
75,75062910,46.26
76,75062927,45.1
77,75064273,14.12
78,75064839,31.51
79,75064891,22.5
80,75064938,21.551
81,75070328,12.12
82,75313036,20.64
83,75916565,25.85
84,75917265,28.97
85,78924338,26.72
86,78924345,26.72
87,78924574,31.16
88,8400000026,415.07
89,8400000156,108.39
90,8400000460,400.0
91,8400000668,219.53
92,8400000729,210.88
93,8400000767,178.32
94,8400000774,194.71
95,8400001245,301.82
96,8400001290,222.19
97,8400001313,61.14
98,8400001337,103.69
99,8400001344,471.9
100,8400001481,320.04
101,8400001603,204.98
102,8400001962,340.59
103,8400002242,52.44
104,8400003218,349.346
105,8400004277,487.68
106,8400004529,611.43
107,8400004574,295.18
108,8400004611,537.22
109,8400004628,537.24
110,8400005120,575.76
111,8400005229,423.78
112,8400005236,595.06
113,8400005489,758.2
114,8400005656,44.93
115,8400005670,61.2
116,8400005694,202.56
117,8400005779,450.3
118,8400005809,42.63
119,8400005816,89.22
120,8400005823,38.29
121,8400005830,31.353
122,8400005861,670.52
123,8400005878,637.79
124,8400005885,694.5
125,8400007018,46.97
126,8400007063,41.75
127,8400007087,46.32
128,8400007148,37.43
129,8400007391,37.592
130,8400007674,36.65
131,8400009241,591.58
132,8400009258,352.38
133,8400009265,85.29
134,8400009319,576.1
135,8400009340,578.06
136,8400009371,593.24
137,8400009388,469.37
138,8400009418,296.856
139,8400009654,387.18
140,13117000689,161.22
141,13117000696,187.82
142,13117000702,213.84
143,13117000719,245.75
144,13117011180,150.25
145,13117011531,179.55
146,13117011753,169.37
147,13117012194,112.27
148,13117012682,33.91
149,13117016314,106.43
150,13117017830,8.85
151,13117019926,147.51
152,13117019971,263.1
153,13117022858,276.64
154,13117023404,43.29
155,13117029383,18.89
156,15718306009,332.42
157,20800307642,45.55
158,20800600347,38.49
159,20800753050,121.2
160,20800753067,69.3
161,20800755719,85.0
162,20800755726,146.14
163,20800756440,76.85
164,20800756457,127.52
165,20800790222,227.48
166,20800790246,477.85
167,20800790253,219.3
168,33200011309,16.07
169,36000180800,101.4
170,36000183399,116.14
171,36000183429,112.66
172,36000456103,123.91
173,37836012334,69.66
174,37836012341,105.91
175,37836012358,146.95
176,37836012365,277.32
177,37836012389,164.5
178,37836032660,53.5
179,37836032837,60.29
180,37836040191,47.53
