point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,vendor_id,geo_zone,country
1182,0000075006433,20.0,12.59,34,CDMX,MX
1182,0000075006440,10.0,12.19,34,CDMX,MX
1182,0000075034450,6.0,27.29,34,CDMX,MX
1182,0000075049737,5.0,35.96,11,CDMX,MX
1182,0000075050733,3.0,74.4,11,CDMX,MX
1182,0000075050740,5.0,58.72,41,CDMX,MX
1182,0000075052249,20.0,22.93,41,CDMX,MX
1182,0008400003218,1.0,406.17,12,CDMX,MX
1182,0008400009418,11.0,324.39,12,CDMX,MX
1182,0013117016314,11.0,106.43,11,CDMX,MX
1182,0020800600330,12.0,44.12,11,CDMX,MX
1182,0020800753050,8.0,127.76,11,CDMX,MX
1182,0020800753067,3.0,77.26,11,CDMX,MX
1182,0025715670096,3.0,29.42,11,CDMX,MX
1182,0025715974804,5.0,96.67,11,CDMX,MX
1182,0037836040252,10.0,33.45,41,CDMX,MX
1182,0041333000992,2.0,103.74,11,CDMX,MX
1182,0041333038216,5.0,33.26,11,CDMX,MX
1182,0041388284316,5.0,197.64,11,CDMX,MX
1182,0070942302289,5.0,137.72,11,CDMX,MX
1182,0070942303194,6.0,40.73,11,CDMX,MX
1182,0070942507240,5.0,38.95,11,CDMX,MX
1182,0073796801212,6.0,915.0,12,CDMX,MX
1182,0075486089139,1.0,194.81,11,CDMX,MX
1182,0099176316732,12.0,29.84,11,CDMX,MX
1182,0300090050139,7.0,286.16,11,CDMX,MX
1182,0310119034347,6.0,61.27,12,CDMX,MX
1182,0310119043226,3.0,148.97,12,CDMX,MX
1182,0312547321808,10.0,45.0,12,CDMX,MX
1182,0312547321815,3.0,76.29,12,CDMX,MX
1182,0353885771504,2.0,288.09,12,CDMX,MX
1182,0354312225133,12.0,35.07,24,CDMX,MX
1182,0354312225140,12.0,23.76,11,CDMX,MX
1182,0382903201785,10.0,51.69,12,CDMX,MX
1182,0637420602004,10.0,35.73,24,CDMX,MX
1182,0650240004292,5.0,36.54,12,CDMX,MX
1182,0650240005398,12.0,125.43,12,CDMX,MX
1182,0650240009518,11.0,53.69,12,CDMX,MX
1182,0650240009525,6.0,53.69,11,CDMX,MX
1182,0650240009563,29.0,36.54,12,CDMX,MX
1182,0650240010712,26.0,121.67,11,CDMX,MX
1182,0650240010736,3.0,81.28,12,CDMX,MX
1182,0650240011153,13.0,121.1,12,CDMX,MX
1182,0650240011351,3.0,111.59,19,CDMX,MX
1182,0650240011917,2.0,103.65,11,CDMX,MX
1182,0650240013805,5.0,108.13,11,CDMX,MX
1182,0650240013850,12.0,28.34,11,CDMX,MX
1182,0650240013874,12.0,69.35,11,CDMX,MX
1182,0650240015670,3.0,81.28,11,CDMX,MX
1182,0650240017094,50.0,57.06,12,CDMX,MX
1182,0650240017100,20.0,100.69,12,CDMX,MX
1182,0650240021763,12.0,58.15,11,CDMX,MX
1182,0650240024931,8.0,315.73,12,CDMX,MX
1182,0650240027710,3.0,78.3,12,CDMX,MX
1182,0650240030338,3.0,66.37,11,CDMX,MX
1182,0650240030536,2.0,115.58,11,CDMX,MX
1182,0650240031502,5.0,121.67,12,CDMX,MX
1182,0650240031519,5.0,136.24,11,CDMX,MX
1182,0650240032264,24.0,14.69,34,CDMX,MX
1182,0650240032325,12.0,15.3,11,CDMX,MX
1182,0650240032400,2.0,66.37,11,CDMX,MX
1182,0650240035401,10.0,36.54,12,CDMX,MX
1182,0650240036378,5.0,146.84,11,CDMX,MX
1182,0650240036385,8.0,146.84,11,CDMX,MX
1182,0650240036965,11.0,36.54,12,CDMX,MX
1182,0650240052545,30.0,36.92,12,CDMX,MX
1182,0650240053610,5.0,141.86,11,CDMX,MX
1182,0650240053634,6.0,94.29,11,CDMX,MX
1182,0650240065293,10.0,112.44,11,CDMX,MX
1182,0650240066306,24.0,15.3,12,CDMX,MX
1182,0656599040110,5.0,40.8,41,CDMX,MX
1182,0656599040226,20.0,38.25,41,CDMX,MX
1182,0656599040561,5.0,31.88,41,CDMX,MX
1182,0656599040660,20.0,33.38,24,CDMX,MX
1182,0675873002088,1.0,227.25,12,CDMX,MX
1182,0714706901300,5.0,32.12,11,CDMX,MX
1182,0714706901409,10.0,33.81,11,CDMX,MX
1182,0714706903205,5.0,106.47,11,CDMX,MX
1182,0714706910487,11.0,26.4,11,CDMX,MX
1182,0714706910890,19.0,26.4,11,CDMX,MX
1182,0714908100013,5.0,36.22,41,CDMX,MX
1182,0714908100051,5.0,48.85,41,CDMX,MX
1182,0714908100228,10.0,56.09,34,CDMX,MX
1182,0714908101485,5.0,51.59,41,CDMX,MX
1182,0714908107760,10.0,31.23,24,CDMX,MX
1182,0729513130065,12.0,15.37,24,CDMX,MX
1182,0729513132076,3.0,121.94,24,CDMX,MX
1182,0729513132229,6.0,201.67,12,CDMX,MX
1182,0729513133042,5.0,66.35,19,CDMX,MX
1182,0736085011937,1.0,227.87,12,CDMX,MX
1182,0736085132069,10.0,63.92,11,CDMX,MX
1182,0736085171051,2.0,247.52,11,CDMX,MX
1182,0736085278507,17.0,60.1,11,CDMX,MX
1182,0736085405422,5.0,134.55,12,CDMX,MX
1182,0762860013476,8.0,439.65,12,CDMX,MX
1182,0762860013483,2.0,445.06,11,CDMX,MX
1182,0780083139766,10.0,67.29,34,CDMX,MX
1182,0780083140663,30.0,20.17,24,CDMX,MX
1182,0780083141066,20.0,20.19,34,CDMX,MX
1182,0780083141226,10.0,37.04,24,CDMX,MX
1182,0780083141585,20.0,14.67,24,CDMX,MX
1182,0780083141936,10.0,71.74,24,CDMX,MX
1182,0780083141981,20.0,6.59,34,CDMX,MX
1182,0780083142605,40.0,33.79,34,CDMX,MX
1182,0780083148683,10.0,7.32,41,CDMX,MX
1182,0780083148805,20.0,19.14,24,CDMX,MX
1182,0780083148843,20.0,15.19,24,CDMX,MX
1182,0780083148898,10.0,12.96,24,CDMX,MX
1182,0780083148928,5.0,43.21,24,CDMX,MX
1182,0780083148966,10.0,13.89,34,CDMX,MX
1182,0780083149178,50.0,25.0,41,CDMX,MX
1182,0780083149185,10.0,43.69,34,CDMX,MX
1182,0785118752965,50.0,17.6,24,CDMX,MX
1182,0785118753818,40.0,17.86,24,CDMX,MX
1182,0785118753825,50.0,28.58,24,CDMX,MX
1182,0785118753962,5.0,69.06,24,CDMX,MX
1182,0785118753979,10.0,54.99,34,CDMX,MX
1182,0785118754204,20.0,47.55,12,CDMX,MX
1182,0785118754235,10.0,24.69,34,CDMX,MX
1182,0785118754259,20.0,39.11,12,CDMX,MX
1182,0785118754280,10.0,28.76,24,CDMX,MX
1182,0785120753349,10.0,60.63,24,CDMX,MX
1182,0785120754759,30.0,8.36,24,CDMX,MX
1182,0785120754810,10.0,23.99,34,CDMX,MX
1182,0785120754841,12.0,41.29,34,CDMX,MX
1182,0785120754858,20.0,37.49,34,CDMX,MX
1182,0785120755022,10.0,22.79,34,CDMX,MX
1182,3014260019723,5.0,19.83,12,CDMX,MX
1182,3282770149548,1.0,380.78,11,CDMX,MX
1182,3337875597210,5.0,153.69,12,CDMX,MX
1182,3337875597357,1.0,295.91,12,CDMX,MX
1182,3337875784054,1.0,239.57,11,CDMX,MX
1182,3393370037408,4.0,690.51,41,CDMX,MX
1182,3499320001342,5.0,358.71,19,CDMX,MX
1182,3504105025816,3.0,60.97,12,CDMX,MX
1182,3504105025878,3.0,92.21,12,CDMX,MX
1182,3504105032937,2.0,111.28,12,CDMX,MX
1182,3594450170071,1.0,1125.3,11,CDMX,MX
1182,3614225108709,20.0,42.63,10273,CDMX,MX
1182,3614225108747,3.0,49.12,10273,CDMX,MX
1182,3614225108792,3.0,59.19,11,CDMX,MX
1182,3614225109034,11.0,49.12,10273,CDMX,MX
1182,3614229721690,5.0,42.63,11,CDMX,MX
1182,3664798025705,5.0,339.07,10269,CDMX,MX
1182,3664798042313,3.0,315.79,10269,CDMX,MX
1182,3664798054859,2.0,115.35,12,CDMX,MX
1182,3664798054866,2.0,199.123,10269,CDMX,MX
1182,3664898062778,1.0,366.96,11,CDMX,MX
1182,4005800239656,2.0,145.21,12,CDMX,MX
1182,4005808296781,2.0,84.66,11,CDMX,MX
1182,4005808538560,5.0,85.98,10273,CDMX,MX
1182,4005808820221,2.0,36.21,11,CDMX,MX
1182,4015630064076,2.0,226.59,12,CDMX,MX
1182,4015630981977,6.0,300.88,12,CDMX,MX
1182,4104480412103,10.0,220.67,11,CDMX,MX
1182,4260095681720,4.0,228.93,11,CDMX,MX
1182,4260095681737,4.0,691.4,12,CDMX,MX
1182,4580193650870,2.0,453.0,12,CDMX,MX
1182,4607009582153,5.0,276.5,12,CDMX,MX
1182,5000174305449,16.0,69.46,12,CDMX,MX
1182,5000456054317,2.0,235.38,12,CDMX,MX
1182,5000456069939,1.0,598.02,12,CDMX,MX
1182,5016003195303,5.0,225.69,10273,CDMX,MX
1182,5016003657801,2.0,132.09,10273,CDMX,MX
1182,5016003770500,7.0,125.1,10273,CDMX,MX
1182,5016003770609,16.0,200.0,10273,CDMX,MX
1182,5997001328316,2.0,419.61,11,CDMX,MX
1182,6358975441453,5.0,57.3,20,CDMX,MX
1182,6650376816138,10.0,17.29,34,CDMX,MX
1182,6939663900072,23.0,31.67,12,CDMX,MX
1182,7350012552138,2.0,355.48,12,CDMX,MX
1182,7500326106989,7.0,62.293,20,CDMX,MX
1182,7500327050236,3.0,212.15,12,CDMX,MX
1182,7500435019705,5.0,28.46,11,CDMX,MX
1182,7500435020008,3.0,58.45,12,CDMX,MX
1182,7500435020084,4.0,59.62,11,CDMX,MX
1182,7500435105699,3.0,127.11,12,CDMX,MX
1182,7500435145497,2.0,221.85,12,CDMX,MX
1182,7501001116187,36.0,88.767,11,CDMX,MX
1182,7501001116200,5.0,102.13,11,CDMX,MX
1182,7501001164645,3.0,59.35,12,CDMX,MX
1182,7501001246563,1.0,834.89,12,CDMX,MX
1182,7501001258030,3.0,75.91,12,CDMX,MX
1182,7501001303464,3.0,59.35,12,CDMX,MX
1182,7501001303549,6.0,45.89,11,CDMX,MX
1182,7501001353377,5.0,76.2,11,CDMX,MX
1182,7501006711387,12.0,33.19,11,CDMX,MX
1182,7501007459332,20.0,67.54,11,CDMX,MX
1182,7501007501031,11.0,12.835,10269,CDMX,MX
1182,7501007528939,6.0,24.48,12,CDMX,MX
1182,7501007531601,3.0,136.803,10269,CDMX,MX
1182,7501007532349,9.0,156.498,10269,CDMX,MX
1182,7501007532356,5.0,82.4,11,CDMX,MX
1182,7501007532387,3.0,163.1,12,CDMX,MX
1182,7501008409503,5.0,130.0,12,CDMX,MX
1182,7501008409527,11.0,96.0,12,CDMX,MX
1182,7501008427347,24.0,63.25,12,CDMX,MX
1182,7501008433553,10.0,64.5,12,CDMX,MX
1182,7501008485316,10.0,35.4,10273,CDMX,MX
1182,7501008491966,10.0,41.75,12,CDMX,MX
1182,7501008494226,5.0,60.25,12,CDMX,MX
1182,7501008496701,6.0,32.5,11,CDMX,MX
1182,7501008497593,11.0,42.5,12,CDMX,MX
1182,7501008497623,5.0,350.0,12,CDMX,MX
1182,7501008498798,22.0,63.25,12,CDMX,MX
1182,7501008498866,1.0,95.0,12,CDMX,MX
1182,7501008499306,27.0,61.25,12,CDMX,MX
1182,7501008499412,2.0,207.0,12,CDMX,MX
1182,7501008499788,1.0,59.75,12,CDMX,MX
1182,7501015903322,12.0,12.54,11,CDMX,MX
1182,7501019006371,12.0,17.58,11,CDMX,MX
1182,7501019030352,5.0,16.07,24,CDMX,MX
1182,7501019032455,5.0,13.85,11,CDMX,MX
1182,7501019036422,10.0,31.57,11,CDMX,MX
1182,7501019051104,10.0,49.68,10273,CDMX,MX
1182,7501019051401,6.0,104.76,11,CDMX,MX
1182,7501019051517,11.0,134.62,10273,CDMX,MX
1182,7501019052699,6.0,95.84,11,CDMX,MX
1182,7501019053269,12.0,119.34,11,CDMX,MX
1182,7501019068713,10.0,11.29,11,CDMX,MX
1182,7501022101155,6.0,144.96,12,CDMX,MX
1182,7501022101209,15.0,37.25,10273,CDMX,MX
1182,7501022101360,3.0,98.43,12,CDMX,MX
1182,7501022103111,5.0,24.61,12,CDMX,MX
1182,7501022104217,2.0,46.95,12,CDMX,MX
1182,7501022105191,24.0,11.28,41,CDMX,MX
1182,7501022105276,12.0,17.79,41,CDMX,MX
1182,7501022111024,2.0,149.55,19,CDMX,MX
1182,7501022133118,3.0,51.88,41,CDMX,MX
1182,7501022140659,6.0,81.57,12,CDMX,MX
1182,7501026462061,10.0,20.29,11,CDMX,MX
1182,7501027512574,6.0,14.105,10269,CDMX,MX
1182,7501027512581,6.0,12.2,10273,CDMX,MX
1182,7501027512758,84.0,14.84,10273,CDMX,MX
1182,7501027512918,5.0,52.91,11,CDMX,MX
1182,7501027512987,6.0,74.05,11,CDMX,MX
1182,7501027513021,6.0,13.446,10269,CDMX,MX
1182,7501027513601,12.0,12.999,10269,CDMX,MX
1182,7501027513618,34.0,11.29,10273,CDMX,MX
1182,7501027513960,5.0,24.363,10269,CDMX,MX
1182,7501027514103,36.0,18.764,10269,CDMX,MX
1182,7501027524133,60.0,4.71,10273,CDMX,MX
1182,7501027524140,12.0,4.75,11,CDMX,MX
1182,7501027524188,48.0,5.1,10273,CDMX,MX
1182,7501027551306,3.0,33.73,10273,CDMX,MX
1182,7501027551375,3.0,47.23,11,CDMX,MX
1182,7501027554420,3.0,37.51,11,CDMX,MX
1182,7501027554864,3.0,45.9,11,CDMX,MX
1182,7501027565518,10.0,61.21,11,CDMX,MX
1182,7501027567062,5.0,43.05,11,CDMX,MX
1182,7501028610361,12.0,8.05,11,CDMX,MX
1182,7501028652248,96.0,15.8,10273,CDMX,MX
1182,7501033952791,1.0,581.38,12,CDMX,MX
1182,7501033954061,36.0,38.46,10269,CDMX,MX
1182,7501033954085,12.0,38.46,41,CDMX,MX
1182,7501033955556,2.0,700.99,12,CDMX,MX
1182,7501033956126,24.0,40.75,41,CDMX,MX
1182,7501033956133,36.0,40.75,41,CDMX,MX
1182,7501033956140,12.0,40.75,41,CDMX,MX
1182,7501033956775,60.0,21.69,12,CDMX,MX
1182,7501033960499,36.0,41.88,12,CDMX,MX
1182,7501035906341,6.0,68.36,11,CDMX,MX
1182,7501035908116,18.0,36.34,11,CDMX,MX
1182,7501035908123,12.0,27.61,10269,CDMX,MX
1182,7501035908239,12.0,23.62,11,CDMX,MX
1182,7501035908253,5.0,61.61,11,CDMX,MX
1182,7501035911567,12.0,15.07,10273,CDMX,MX
1182,7501037907117,6.0,155.4,11,CDMX,MX
1182,7501043162074,3.0,258.37,12,CDMX,MX
1182,7501043162128,3.0,132.28,12,CDMX,MX
1182,7501048621408,6.0,18.47,20,CDMX,MX
1182,7501048623006,6.0,16.21,12,CDMX,MX
1182,7501048640034,60.0,4.78,12,CDMX,MX
1182,7501048692385,5.0,18.27,10273,CDMX,MX
1182,7501048693009,30.0,8.5,11,CDMX,MX
1182,7501048693306,30.0,10.05,12,CDMX,MX
1182,7501048693900,20.0,23.33,10273,CDMX,MX
1182,7501048780488,24.0,12.07,20,CDMX,MX
1182,7501050604000,3.0,366.19,12,CDMX,MX
1182,7501050610704,5.0,580.22,11,CDMX,MX
1182,7501050612555,5.0,154.44,11,CDMX,MX
1182,7501050613453,11.0,66.25,11,CDMX,MX
