point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,vendor_id,geo_zone,country
1182,0008400003218,1.0,406.17,12,CDMX,MX
1182,0025715670096,3.0,29.42,11,CDMX,MX
1182,0041388284316,5.0,197.64,11,CDMX,MX
1182,0075486089139,1.0,194.81,11,CDMX,MX
1182,0099176316732,12.0,29.84,11,CDMX,MX
1182,0310119034347,6.0,61.27,12,CDMX,MX
1182,0312547321808,5.0,45.0,12,CDMX,MX
1182,0650240010712,5.0,121.67,11,CDMX,MX
1182,0650240013850,12.0,28.34,11,CDMX,MX
1182,0650240015670,3.0,81.28,11,CDMX,MX
1182,0650240017100,20.0,100.69,12,CDMX,MX
1182,0650240030536,2.0,115.58,11,CDMX,MX
1182,0650240031502,5.0,121.67,12,CDMX,MX
1182,0656599040660,10.0,33.38,24,CDMX,MX
1182,0675873002088,1.0,227.25,12,CDMX,MX
1182,0714706910890,3.0,26.4,11,CDMX,MX
1182,0729513132229,6.0,201.67,12,CDMX,MX
1182,0736085011937,1.0,227.87,12,CDMX,MX
1182,0736085132069,10.0,63.92,11,CDMX,MX
1182,0736085278507,6.0,60.1,11,CDMX,MX
1182,0762860013476,2.0,439.65,12,CDMX,MX
1182,0762860013483,2.0,445.06,11,CDMX,MX
1182,0780083142605,20.0,36.16,24,CDMX,MX
1182,0780083148805,10.0,19.14,24,CDMX,MX
1182,0785118753825,20.0,28.58,24,CDMX,MX
1182,0785118754235,10.0,24.69,34,CDMX,MX
1182,0785118754259,20.0,39.11,12,CDMX,MX
1182,0785118754280,10.0,28.76,24,CDMX,MX
1182,0785120755022,10.0,22.79,34,CDMX,MX
1182,3594450170071,1.0,1125.3,11,CDMX,MX
1182,3614225108709,10.0,42.63,10273,CDMX,MX
1182,3614229721690,5.0,42.63,11,CDMX,MX
1182,3664798054859,2.0,115.35,12,CDMX,MX
1182,4580193650870,2.0,453.0,12,CDMX,MX
1182,4607009582153,2.0,276.5,12,CDMX,MX
1182,5016003195303,2.0,225.69,10273,CDMX,MX
1182,5016003770609,4.0,200.0,10273,CDMX,MX
1182,7500326106989,2.0,64.43,20,CDMX,MX
1182,7500327050236,3.0,212.15,12,CDMX,MX
1182,7500435020008,3.0,58.45,12,CDMX,MX
1182,7501001116187,10.0,88.767,10269,CDMX,MX
1182,7501001246563,1.0,834.89,12,CDMX,MX
1182,7501001303464,3.0,59.35,12,CDMX,MX
1182,7501007532349,2.0,156.498,10269,CDMX,MX
1182,7501007532356,3.0,82.4,11,CDMX,MX
1182,7501008497623,2.0,350.0,12,CDMX,MX
1182,7501019032455,5.0,13.85,11,CDMX,MX
1182,7501022101155,3.0,144.96,12,CDMX,MX
1182,7501022101209,5.0,37.25,12,CDMX,MX
1182,7501022133118,3.0,51.88,41,CDMX,MX
1182,7501027512758,12.0,15.27,11,CDMX,MX
1182,7501027513021,6.0,13.446,10269,CDMX,MX
1182,7501027513601,12.0,12.999,10269,CDMX,MX
1182,7501027524133,24.0,4.71,11,CDMX,MX
1182,7501027524140,12.0,4.75,11,CDMX,MX
1182,7501027524188,24.0,5.1,10273,CDMX,MX
1182,7501027567062,5.0,43.05,11,CDMX,MX
1182,7501028652248,12.0,15.8,10273,CDMX,MX
1182,7501033956133,12.0,40.75,41,CDMX,MX
1182,7501033956775,36.0,21.69,12,CDMX,MX
1182,7501033960499,24.0,41.88,12,CDMX,MX
1182,7501035908116,6.0,36.34,11,CDMX,MX
1182,7501048623006,6.0,16.21,12,CDMX,MX
1182,7501048693009,30.0,8.5,11,CDMX,MX
1182,7501048780488,12.0,12.07,20,CDMX,MX
1182,7501050633659,1.0,149.0,12,CDMX,MX
1182,7501058367129,6.0,42.07,12,CDMX,MX
1182,7501058715494,5.0,104.21,11,CDMX,MX
1182,7501058715517,5.0,78.36,11,CDMX,MX
1182,7501058715685,5.0,118.5,12,CDMX,MX
1182,7501059225350,10.0,113.55,11,CDMX,MX
1182,7501059225411,10.0,67.29,11,CDMX,MX
1182,7501059278721,8.0,42.57,11,CDMX,MX
1182,7501065020970,2.0,174.3,11,CDMX,MX
1182,7501065054029,3.0,68.33,11,CDMX,MX
1182,7501065062529,5.0,197.04,11,CDMX,MX
1182,7501070600730,3.0,83.885,10269,CDMX,MX
1182,7501070612320,5.0,125.721,10269,CDMX,MX
1182,7501070619039,3.0,256.08,11,CDMX,MX
1182,7501070622152,3.0,281.16,11,CDMX,MX
1182,7501070903053,3.0,249.7,11,CDMX,MX
1182,7501070903473,2.0,296.94,41,CDMX,MX
1182,7501072300133,5.0,71.59,11,CDMX,MX
1182,7501072340115,2.0,193.92,11,CDMX,MX
1182,7501072629012,5.0,11.11,11,CDMX,MX
1182,7501075710113,5.0,19.59,34,CDMX,MX
1182,7501075717914,10.0,20.99,34,CDMX,MX
1182,7501080161238,5.0,60.23,11,CDMX,MX
1182,7501080911185,5.0,165.96,12,CDMX,MX
1182,7501080912083,2.0,119.09,12,CDMX,MX
1182,7501082212143,1.0,448.45,10273,CDMX,MX
1182,7501086310975,2.0,398.71,10273,CDMX,MX
1182,7501086453016,6.0,71.23,11,CDMX,MX
1182,7501088505126,10.0,120.96,11,CDMX,MX
1182,7501088505829,20.0,148.4,20,CDMX,MX
1182,7501088505836,5.0,151.2,41,CDMX,MX
1182,7501088507007,1.0,554.37,11,CDMX,MX
1182,7501088507908,2.0,236.31,20,CDMX,MX
1182,7501088507915,5.0,248.84,11,CDMX,MX
1182,7501088509773,10.0,114.88,11,CDMX,MX
1182,7501089809445,10.0,214.799,10269,CDMX,MX
1182,7501092743064,5.0,357.41,10273,CDMX,MX
1182,7501095409059,5.0,96.47,11,CDMX,MX
1182,7501095452116,6.0,38.45,12,CDMX,MX
1182,7501095452505,5.0,95.51,12,CDMX,MX
1182,7501100088217,2.0,82.9,12,CDMX,MX
1182,7501101642234,2.0,274.4,41,CDMX,MX
1182,7501109762446,10.0,32.95,24,CDMX,MX
1182,7501122961024,2.0,233.16,20,CDMX,MX
1182,7501122969808,2.0,95.602,10269,CDMX,MX
1182,7501124103248,11.0,304.44,10273,CDMX,MX
1182,7501124109684,2.0,256.8,41,CDMX,MX
1182,7501124182762,1.0,186.18,11,CDMX,MX
1182,7501124183394,3.0,485.29,12,CDMX,MX
1182,7501124760076,1.0,598.43,12,CDMX,MX
1182,7501125104268,48.0,18.18,12,CDMX,MX
1182,7501125104343,48.0,18.18,12,CDMX,MX
1182,7501125104350,36.0,35.69,10273,CDMX,MX
1182,7501125124075,3.0,288.54,12,CDMX,MX
1182,7501125126031,3.0,237.19,12,CDMX,MX
1182,7501125154720,1.0,150.33,11,CDMX,MX
1182,7501125174797,24.0,18.18,12,CDMX,MX
1182,7501125175626,2.0,309.17,12,CDMX,MX
1182,7501130713189,10.0,27.274,10269,CDMX,MX
1182,7501130713851,3.0,42.06,10269,CDMX,MX
1182,7501159580021,1.0,1305.58,12,CDMX,MX
1182,7501159580182,3.0,190.096,10269,CDMX,MX
1182,7501165010673,8.0,122.923,10269,CDMX,MX
1182,7501165010680,5.0,119.01,12,CDMX,MX
1182,7501165011694,5.0,166.4,11,CDMX,MX
1182,7501168810508,1.0,399.33,11,CDMX,MX
1182,7501249601599,2.0,239.94,20,CDMX,MX
1182,7501250829876,1.0,371.24,12,CDMX,MX
1182,7501250838533,1.0,632.7,12,CDMX,MX
1182,7501250882024,10.0,62.22,10273,CDMX,MX
1182,7501258205221,5.0,191.59,34,CDMX,MX
1182,7501277078073,5.0,29.68,41,CDMX,MX
1182,7501287627643,2.0,83.12,12,CDMX,MX
1182,7501287650627,2.0,250.35,12,CDMX,MX
1182,7501289520119,1.0,104.63,11,CDMX,MX
1182,7501293200946,1.0,1164.98,12,CDMX,MX
1182,7501298215099,3.0,99.003,10269,CDMX,MX
1182,7501298217659,11.0,455.92,11,CDMX,MX
1182,7501298223711,2.0,158.89,11,CDMX,MX
1182,7501299300367,2.0,159.97,11,CDMX,MX
1182,7501299303047,10.0,40.32,41,CDMX,MX
1182,7501299306840,1.0,239.81,19,CDMX,MX
1182,7501299310649,2.0,801.47,19,CDMX,MX
1182,7501300408211,2.0,251.6,11,CDMX,MX
1182,7501300408358,2.0,496.88,10273,CDMX,MX
1182,7501300408754,2.0,389.21,10273,CDMX,MX
1182,7501300420688,6.0,243.13,10273,CDMX,MX
1182,7501300421135,5.0,229.16,11,CDMX,MX
1182,7501300421548,5.0,136.88,10273,CDMX,MX
1182,7501300421555,10.0,136.88,10273,CDMX,MX
1182,7501300450449,2.0,196.56,10269,CDMX,MX
1182,7501314701223,2.0,986.7,10273,CDMX,MX
1182,7501314701254,4.0,110.4,10273,CDMX,MX
1182,7501314701353,5.0,738.3,10273,CDMX,MX
1182,7501314701766,4.0,378.82,10273,CDMX,MX
1182,7501314702701,3.0,586.5,10273,CDMX,MX
1182,7501314704958,3.0,255.3,10273,CDMX,MX
1182,7501314705269,7.0,351.9,10273,CDMX,MX
1182,7501318652453,10.0,114.13,11,CDMX,MX
1182,7501349021211,10.0,33.6,20,CDMX,MX
1182,7501349021310,10.0,17.59,11,CDMX,MX
1182,7501349021532,30.0,17.95,11,CDMX,MX
1182,7501349022126,10.0,16.29,34,CDMX,MX
1182,7501349023369,30.0,6.9,11,CDMX,MX
1182,7501349024267,30.0,9.66,11,CDMX,MX
1182,7501349025233,3.0,44.89,34,CDMX,MX
1182,7501349025271,30.0,17.86,11,CDMX,MX
1182,7501349026841,5.0,605.02,11,CDMX,MX
1182,7501361123009,5.0,20.58,10273,CDMX,MX
1182,7501384503123,1.0,328.48,12,CDMX,MX
1182,7501384504342,2.0,380.41,11,CDMX,MX
1182,7501384546809,10.0,21.13,12,CDMX,MX
1182,7501385490521,10.0,23.48,24,CDMX,MX
1182,7501390911547,1.0,460.36,11,CDMX,MX
1182,7501390913794,1.0,319.81,11,CDMX,MX
1182,7501463301350,60.0,6.34,12,CDMX,MX
1182,7501478315397,20.0,20.259,10269,CDMX,MX
1182,7501537102586,50.0,23.295,10269,CDMX,MX
1182,7501537103354,20.0,35.62,24,CDMX,MX
1182,7501573900108,130.0,11.62,24,CDMX,MX
1182,7501573900283,10.0,10.8,20,CDMX,MX
1182,7501573903260,10.0,15.777,10269,CDMX,MX
1182,7501573904786,10.0,12.29,34,CDMX,MX
1182,7501573909408,10.0,14.342,10269,CDMX,MX
1182,7501573910428,5.0,6.59,34,CDMX,MX
1182,7501590281105,3.0,54.39,34,CDMX,MX
1182,7501590282829,5.0,49.89,34,CDMX,MX
1182,7501590284779,10.0,34.8,20,CDMX,MX
1182,7501825300274,10.0,38.389,10269,CDMX,MX
1182,7501825300724,20.0,30.59,34,CDMX,MX
1182,7501836009531,10.0,38.801,10269,CDMX,MX
1182,7501842900884,10.0,45.15,24,CDMX,MX
1182,7501842901003,10.0,52.0,20,CDMX,MX
1182,7501943441767,3.0,223.97,11,CDMX,MX
1182,7501943441804,5.0,281.65,11,CDMX,MX
1182,7501943471337,12.0,16.52,11,CDMX,MX
1182,7501943471962,12.0,31.45,11,CDMX,MX
1182,7501943498815,5.0,102.99,11,CDMX,MX
1182,7502001162426,20.0,50.49,34,CDMX,MX
1182,7502001165397,5.0,51.59,34,CDMX,MX
1182,7502001166776,20.0,29.69,34,CDMX,MX
1182,7502002462358,1.0,1137.53,11,CDMX,MX
1182,7502003386127,10.0,34.25,34,CDMX,MX
1182,7502004401508,10.0,36.19,34,CDMX,MX
1182,7502009740244,20.0,5.883,10269,CDMX,MX
1182,7502009740442,5.0,49.8,20,CDMX,MX
1182,7502009740503,20.0,29.177,10269,CDMX,MX
1182,7502009740510,20.0,53.531,10269,CDMX,MX
1182,7502009741784,10.0,24.39,41,CDMX,MX
1182,7502009744013,30.0,20.001,10269,CDMX,MX
1182,7502009744945,10.0,54.994,10269,CDMX,MX
1182,7502009745027,10.0,51.49,34,CDMX,MX
1182,7502009745034,10.0,14.471,10269,CDMX,MX
1182,7502009745126,3.0,144.0,20,CDMX,MX
1182,7502009745898,20.0,63.531,10269,CDMX,MX
1182,7502009747236,10.0,18.89,34,CDMX,MX
1182,7502208892195,10.0,25.648,10269,CDMX,MX
1182,7502208892287,10.0,17.436,10269,CDMX,MX
1182,7502208892355,20.0,6.89,34,CDMX,MX
1182,7502209710108,10.0,228.78,12,CDMX,MX
1182,7502209710160,2.0,129.08,12,CDMX,MX
1182,7502211780854,10.0,167.961,10269,CDMX,MX
1182,7502211784197,10.0,40.907,10269,CDMX,MX
1182,7502214980015,10.0,30.15,19,CDMX,MX
1182,7502214983153,6.0,62.18,19,CDMX,MX
1182,7502214983726,6.0,62.18,19,CDMX,MX
1182,7502216802889,10.0,17.9,24,CDMX,MX
