"point_of_sale_id","super_catalog_id","unidades_pedidas","precio_minimo"
1182,"0000075000950",12.000,14.820
1182,"0000075001865",5.000,42.710
1182,"0000075001872",6.000,27.040
1182,"0000075002794",6.000,25.640
1710,"0000075004972",1.000,219.280
1182,"0000075006433",10.000,12.590
1182,"0000075006440",20.000,12.190
1182,"0000075017255",5.000,91.730
1182,"0000075034450",6.000,27.290
1182,"0000075049805",5.000,34.610
1182,"0000075050740",5.000,58.720
1182,"0000075050795",3.000,49.090
1182,"0000075050801",3.000,43.610
1182,"0000075052249",20.000,22.930
1182,"0000075052812",5.000,75.750
1182,"0008400003218",1.000,426.470
1182,"0008400005823",8.000,42.890
1182,"0008400005830",8.000,33.650
1182,"0008400009418",8.000,324.390
1182,"0020800600347",24.000,41.090
1182,"0020800753067",3.000,77.260
1182,"0020800756457",5.000,129.810
1182,"0037836012334",3.000,70.360
1182,"0037836040252",10.000,33.450
1182,"0037836041358",3.000,29.170
1182,"0037836041396",7.000,38.760
1182,"0041333000985",2.000,112.530
1182,"0048526003327",3.000,23.040
1182,"0070942125352",3.000,100.120
1182,"0070942302289",8.000,133.590
1590,"0070942302401",1.000,53.020
1182,"0070942303194",6.000,40.730
1182,"0070942507240",5.000,43.270
1182,"0073796801212",3.000,915.000
1182,"0079656529319",2.000,213.710
1311,"008400000026",1.000,435.820
1680,"008400000156",1.000,108.390
1681,"008400000156",1.000,108.390
1679,"008400000460",3.000,488.780
1680,"008400000460",1.000,488.780
1681,"008400000460",1.000,488.780
1682,"008400000460",2.000,488.780
1311,"008400000774",1.000,194.710
1588,"008400000774",1.000,194.710
1590,"008400000774",1.000,194.710
1680,"008400000774",1.000,194.710
1311,"008400001290",1.000,222.190
1679,"008400001290",1.000,222.190
2147,"008400001313",1.000,61.140
1291,"008400003218",1.000,426.470
1311,"008400003218",1.000,411.540
1311,"008400004277",1.000,512.730
1291,"008400004574",1.000,324.650
1589,"008400004574",2.000,324.650
1590,"008400004574",2.000,309.200
1682,"008400004628",2.000,537.240
1590,"008400005229",1.000,444.960
1679,"008400005236",1.000,595.060
1238,"008400005656",1.000,64.480
1588,"008400005656",1.000,64.480
1590,"008400005656",5.000,64.480
1748,"008400005656",1.000,48.790
2096,"008400005656",20.000,44.930
2097,"008400005656",92.000,44.930
2138,"008400005656",2.000,64.480
1291,"008400005823",5.000,45.040
2096,"008400005823",10.000,44.490
2097,"008400005823",75.000,41.620
1710,"008400007018",1.000,54.750
1710,"008400007063",2.000,51.420
2096,"008400007063",20.000,41.750
2097,"008400007063",110.000,41.750
1710,"008400007087",12.000,52.000
1311,"008400009241",1.000,591.580
1681,"008400009241",2.000,591.580
1679,"008400009258",37.000,352.380
1680,"008400009258",12.000,352.380
1681,"008400009258",9.000,352.380
1682,"008400009258",5.000,352.380
1794,"008400009265",1.000,85.940
1679,"008400009340",2.000,606.960
1679,"008400009371",12.000,593.240
1681,"008400009371",5.000,592.850
1682,"008400009371",1.000,593.240
1291,"008400009388",1.000,492.830
1680,"008400009388",3.000,492.510
1681,"008400009388",2.000,492.510
1682,"008400009388",1.000,492.830
1238,"008400009418",1.000,340.600
1311,"008400009418",1.000,334.640
1588,"008400009418",1.000,340.600
1589,"008400009418",1.000,340.600
1590,"008400009418",1.000,324.390
1291,"011017103905",3.000,23.690
1589,"011017103905",2.000,23.690
1590,"013117000689",4.000,161.220
1590,"013117000696",5.000,187.820
1238,"013117000702",1.000,213.840
1590,"013117000702",3.000,213.840
1590,"013117000719",7.000,245.750
1748,"013117011180",1.000,150.250
1750,"013117011531",1.000,179.550
1749,"013117011746",2.000,60.990
1741,"013117011753",5.000,169.370
1749,"013117011753",6.000,169.370
1750,"013117011753",2.000,169.370
1748,"013117012194",2.000,112.270
1238,"013117019926",1.000,147.510
1590,"013117019926",15.000,147.510
1590,"013117019971",12.000,263.100
1590,"013117022858",7.000,276.640
1590,"013117023404",1.000,43.290
1741,"013117054149",3.000,53.780
1588,"015228123462",1.000,48.890
1741,"015228123462",2.000,48.890
1750,"015228123462",3.000,48.890
1238,"020800307642",1.000,45.550
1590,"020800307642",1.000,48.460
2139,"020800307642",3.000,45.550
1589,"020800600330",3.000,44.120
1590,"020800600330",5.000,44.120
724,"020800600347",5.000,41.090
1114,"020800600347",5.000,41.090
1224,"020800600347",6.000,41.090
1291,"020800600347",8.000,38.960
1588,"020800600347",7.000,42.360
1589,"020800600347",24.000,42.360
1590,"020800600347",10.000,42.360
1679,"020800600347",1.000,38.490
1681,"020800600347",1.000,41.970
1682,"020800600347",3.000,38.490
2138,"020800600347",6.000,38.960
2139,"020800600347",8.000,38.960
1588,"020800753050",4.000,133.790
1589,"020800753050",5.000,133.790
1590,"020800753050",5.000,133.790
1749,"020800753050",2.000,133.790
2147,"020800753050",2.000,124.730
1114,"020800753067",2.000,77.260
1238,"020800753067",4.000,78.480
1311,"020800753067",1.000,78.480
1588,"020800753067",11.000,77.640
1589,"020800753067",9.000,80.460
1590,"020800753067",3.000,77.640
1679,"020800753067",3.000,81.330
1680,"020800753067",1.000,77.500
1681,"020800753067",2.000,81.330
1748,"020800753067",3.000,69.300
1749,"020800753067",2.000,82.190
1750,"020800753067",1.000,82.190
1114,"020800755719",1.000,90.940
1590,"020800755719",5.000,89.530
2138,"020800755719",2.000,89.530
2139,"020800755719",3.000,89.530
1291,"020800755726",2.000,147.190
1588,"020800755726",2.000,154.940
1589,"020800755726",2.000,154.940
1590,"020800755726",4.000,146.430
1680,"020800755726",2.000,146.140
1681,"020800755726",1.000,142.140
1682,"020800755726",2.000,146.140
2139,"020800755726",3.000,146.430
2147,"020800755726",3.000,143.720
1291,"020800756440",2.000,78.910
1589,"020800756440",5.000,80.170
1679,"020800756440",1.000,77.500
1679,"020800756457",3.000,127.520
1448,"020800790222",1.000,231.520
1589,"020800790222",2.000,243.710
1590,"020800790246",1.000,511.040
1679,"020800790246",1.000,511.040
1682,"020800790246",1.000,511.040
1238,"020800790253",1.000,235.230
1291,"020800790253",1.000,235.230
1589,"020800790253",5.000,238.630
1590,"020800790253",1.000,243.710
1680,"020800790253",1.000,237.360
1681,"020800790253",1.000,243.710
2147,"020800790253",1.000,234.120
1590,"023185002652",1.000,90.500
1589,"023185081503",3.000,82.820
1589,"025715670096",3.000,29.420
1590,"025715670096",1.000,29.420
2138,"025715670096",1.000,29.420
1588,"025715670157",1.000,52.540
1589,"025715670157",1.000,52.540
1590,"025715670157",1.000,52.540
1679,"025715670157",9.000,52.540
1680,"025715670157",4.000,52.540
1681,"025715670157",3.000,52.540
1682,"025715670157",2.000,52.540
1238,"025715974804",1.000,96.670
1588,"025715974804",2.000,96.670
1589,"025715974804",3.000,96.670
1445,"026169059802",1.000,59.090
1182,"0300090050139",4.000,287.310
1182,"0300650481779",1.000,475.490
1679,"0300651433272",2.000,468.810
1680,"0300651433272",1.000,468.810
1679,"0300651510577",1.000,487.920
1682,"0300651510577",1.000,487.920
2147,"0300653145357",1.000,98.500
1589,"0300653610794",2.000,84.860
2147,"0300653610794",2.000,84.860
1182,"0310119034347",6.000,61.270
1182,"0310158077046",3.000,73.530
1182,"0312547321815",3.000,76.290
1448,"033200011309",20.000,16.110
1588,"033200011309",1.000,17.000
1679,"033200011309",7.000,16.070
1680,"033200011309",4.000,16.070
1681,"033200011309",2.000,17.900
1682,"033200011309",6.000,16.730
1590,"033200186601",5.000,42.480
1114,"033200186632",1.000,43.490
1588,"033200186632",4.000,42.480
1589,"033200186632",3.000,47.320
1590,"033200186632",2.000,44.830
1182,"0353885160254",2.000,174.330
1182,"0353885771504",3.000,303.220
1182,"0354312225027",10.000,44.550
1182,"0354312225140",12.000,23.760
1182,"0354312425403",2.000,24.710
1182,"0354312625018",9.000,51.830
1588,"036000180800",1.000,101.400
1590,"036000180800",1.000,101.400
1588,"036000183399",1.000,116.140
1590,"036000183399",1.000,116.140
1589,"036000183429",3.000,116.140
1590,"036000183429",3.000,116.140
1588,"036000456103",1.000,123.910
1590,"036000456103",1.000,123.910
1588,"037836012334",1.000,70.360
1589,"037836012334",1.000,70.360
1590,"037836012334",2.000,70.360
1311,"037836012341",1.000,110.040
1588,"037836012358",2.000,146.950
1590,"037836012358",2.000,146.950
1590,"037836012389",1.000,175.290
1590,"037836032660",2.000,53.500
1589,"037836032806",1.000,56.950
2139,"037836032837",1.000,60.290
1238,"037836040085",1.000,69.380
1588,"037836040375",1.000,52.780
1679,"037836040375",3.000,52.780
2139,"037836040375",1.000,52.780
1588,"037836041259",1.000,14.880
1589,"037836041259",1.000,14.880
1590,"037836041259",2.000,14.880
1741,"037836041266",2.000,29.170
1588,"037836041273",3.000,38.760
1590,"037836041273",1.000,38.760
1588,"037836041297",1.000,14.880
1590,"037836041297",1.000,14.880
1748,"037836041297",2.000,14.880
1311,"037836041310",1.000,38.760
1588,"037836041310",1.000,38.760
1590,"037836041310",1.000,38.760
1588,"037836041341",3.000,14.880
1590,"037836041341",1.000,14.880
1741,"037836041341",1.000,14.880
1748,"037836041341",2.000,14.880
1588,"037836041365",1.000,38.760
1114,"037836041389",3.000,14.880
1588,"037836041389",1.000,14.880
1590,"037836041426",3.000,38.760
1588,"037836050282",7.000,42.840
1589,"037836050282",2.000,42.840
1590,"037836050282",1.000,42.840
1741,"037836050282",1.000,42.840
1749,"037836050282",1.000,42.840
2138,"037836050282",1.000,42.840
1291,"037836050589",3.000,42.840
1311,"037836050589",1.000,42.840
1590,"037836050725",1.000,18.740
1590,"037836050923",1.000,69.060
1311,"037836051227",1.000,42.840
1590,"037836051227",1.000,42.840
1448,"037836051562",1.000,42.840
1588,"037836051722",2.000,16.360
1590,"037836060038",1.000,49.030
1590,"037836060144",2.000,33.600
1588,"037836060175",1.000,54.840
1749,"037836060250",1.000,49.910
1590,"037836084508",1.000,62.530
1588,"037836084713",1.000,56.950
2139,"037836084713",1.000,56.950
1182,"0382903201761",5.000,51.240
1182,"0382903249138",36.000,41.400
1679,"0382903267859",30.000,102.340
1680,"0382903267859",14.000,102.340
1681,"0382903267859",7.000,102.340
1682,"0382903267859",5.000,102.340
2138,"0382903267859",11.000,99.890
2139,"0382903267859",7.000,99.890
1681,"0382903267866",5.000,104.210
2138,"0382903267866",7.000,99.890
1679,"0382903267873",4.000,102.340
1680,"0382903267873",1.000,102.340
1681,"0382903267873",1.000,102.980
1588,"041333000985",3.000,101.280
1588,"041333000992",1.000,103.740
1588,"041333001029",7.000,84.260
1589,"041333001029",1.000,84.260
1590,"041333001029",4.000,84.260
1749,"041333001029",2.000,93.620
1588,"041333001043",2.000,103.740
1590,"041333001043",2.000,103.740
1291,"041333001074",3.000,53.410
1588,"041333001074",1.000,48.070
1588,"041333001098",6.000,84.260
1589,"041333001098",7.000,84.260
1590,"041333001098",2.000,93.620
1680,"041333001098",1.000,84.260
1588,"041333038216",2.000,36.960
1590,"041333038216",1.000,33.260
1238,"041388284316",1.000,208.010
1311,"041388284316",3.000,208.010
1588,"041388284316",1.000,208.010
1589,"041388284316",7.000,197.640
1590,"041388284316",5.000,197.640
1679,"041388284316",2.000,208.010
1681,"041388284316",2.000,208.010
2138,"041388284316",2.000,208.010
2139,"041388284316",2.000,197.640
2147,"041388284316",2.000,208.010
1588,"047400179240",2.000,96.940
1588,"047400179660",1.000,193.160
1291,"048526003501",3.000,52.380
1291,"048526007660",3.000,47.530
1590,"048526007813",1.000,133.460
1291,"048526007820",2.000,89.850
1589,"048526057771",2.000,75.050
1589,"048526103713",1.000,90.290
1679,"051131000230",2.000,117.520
1682,"051131000230",1.000,132.040
1588,"051131212671",1.000,104.000
1114,"056100024798",2.000,23.700
1588,"056100024798",1.000,22.780
1589,"056100024798",3.000,22.780
1590,"056100024798",4.000,22.780
