"point_of_sale_id","address"
4,"Av. Caseros 2000, Buenos Aires, Argentina"
5,"Avenida Eduardo Madero 1180, Buenos Aires, Argentina"
10,"Avenida Díaz Vélez 3000, Buenos Aires, Argentina"
11,"Corrientes y Callao, Avenida Callao, C1022AAE, Buenos Aires, Argentina"
12,"Avenida del Libertador 7820, Buenos Aires, Argentina"
13,"Torre Macro, Avenida Eduardo Madero, ACY, Buenos Aires, Argentina"
14,"Av. Caseros 2980, Buenos Aires, Argentina"
15,"Av. Caseros 2657, AAG, Buenos Aires, Argentina"
16,"Av. Caseros 1902, Buenos Aires, Argentina"
17,"Av. Caseros 2032, AAN, Buenos Aires, Argentina"
18,"Av. Rivadavia 5892, Buenos Aires, Argentina"
19,"Av. Del Libertador Gral. San Martín 420, Buenos Aires, Argentina"
20,"CHU, Avenida Hipólito Yrigoyen 3636, San Fernando, Buenos Aires Province, Argentina"
21,"José Pedro Varela 4720, Buenos Aires, Argentina"
22,"Jerónimo Salguero 3172, Buenos Aires, Argentina"
23,"Avenida General Las Heras 2991, Buenos Aires, Argentina"
24,"Av. La Plata 2501, Buenos Aires, Argentina"
25,"Av. Rivadavia 2463, ACD, Buenos Aires, Argentina"
26,"Av. Scalabrini Ortiz 361, Buenos Aires, Argentina"
27,"Av. Santa Fe 4228, BHR, CABA, Argentina"
28,"Av. Rivadavia 5444, CEW, CABA, Argentina"
29,"Paso 123, Buenos Aires, Argentina"
30,"Avenida Nazca 1120, Buenos Aires, Argentina"
31,"Avenida Cordoba 3199, AAF, Buenos Aires, Argentina"
32,"Avellaneda 469, Buenos Aires, Argentina"
33,"Avenida Rivadavia 11552, Buenos Aires, Argentina"
34,"Av. Rivadavia 18161, Morón, Provincia de Buenos Aires, Argentina"
35,"Gral. Alvear 1999, Don Torcuato, Provincia de Buenos Aires, Argentina"
36,"Avenida Maipú 918, Vicente López, Provincia de Buenos Aires, Argentina"
37,"Adolfo Alsina 1801, AAA, Buenos Aires, Argentina"
38,"Humberto Primo 434, ACJ, Buenos Aires, Argentina"
39,"Av. Sta Fe 2013, IFH, Provincia de Buenos Aires, Argentina"
40,"Avenida Entre Ríos 205, Buenos Aires, Argentina"
41,"Av. del Libertador 14995, San Isidro, Provincia de Buenos Aires, Argentina"
42,"Av. Córdoba 2639, Buenos Aires, Argentina"
43,"Avenida Santa María de las Conchas 4793, Rincón de Milberg, Provincia de Buenos Aires, Argentina"
44,"Blanco Encalada 1609, Buenos Aires, Argentina"
45,"Avenida Corrientes 1880, AAN, Buenos Aires, Argentina"
46,"Avenida Francisco Beiró 5800, Buenos Aires, Argentina"
47,"Av. Córdoba 1402, Buenos Aires, Argentina"
48,"Avenida Presidente Doctor Arturo U. Illia 2251, San Justo, Provincia de Buenos Aires, Argentina"
49,"San Lorenzo 3773, San Martín, Provincia de Buenos Aires, Argentina"
50,"3 de Febrero 2550, Caseros, Provincia de Buenos Aires, Argentina"
51,"Av. Corrientes 901, Buenos Aires, Argentina"
52,"Carlos Pellegrini 559, Buenos Aires, Argentina"
53,"Esmeralda 599, ABC, Buenos Aires, Argentina"
54,"Lavalle 646, AAN, Buenos Aires, Argentina"
55,"Carlos Pellegrini 423, Buenos Aires, Argentina"
56,"Viamonte 891, ABQ, Buenos Aires, Argentina"
57,"San Martín de Tours 2976, Buenos Aires, Argentina"
58,"Av. Andrés Rolón 138, San Isidro, Provincia de Buenos Aires, Argentina"
59,"República Oriental del Uruguay 265, Morón, Provincia de Buenos Aires, Argentina"
60,"Av. de Mayo 427, Ramos Mejía, Provincia de Buenos Aires, Argentina"
61,"Buenos Aires 559, Castelar, Provincia de Buenos Aires, Argentina"
