point_of_sale_id,super_catalog_id,unidades_pedidas,precio_minimo,geo_zone,vendor_id,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
1446,7503014492043,1.0,534.04,Baja California,1159,México,481.3304,0.0,481.3304,481.3304,,481.3304
1097,7501061019008,5.0,421.79,Baja California Sur,1156,México,418.35,0.0,418.35,2091.75,,2091.75
1097,7501109921553,1.0,1704.81,Baja California Sur,1156,México,1608.31,0.0,1608.31,1608.31,,1608.31
1097,7501165006157,1.0,2109.66,Baja California Sur,1153,México,900.0,0.0,900.0,900.0,,900.0
1097,7501300420084,1.0,849.18,Baja California Sur,1156,México,838.13,0.0,838.13,838.13,,838.13
1097,7503000883749,1.0,558.44,Baja California Sur,1156,México,555.63,0.0,555.63,555.63,,555.63
1097,7501165006331,1.0,550.99,Baja California Sur,1156,México,542.31,0.0,542.31,542.31,,542.31
1097,7501123011704,1.0,335.88,Baja California Sur,1159,México,322.0972,0.0,322.0972,322.0972,,322.0972
1097,7501299307694,1.0,353.8,Baja California Sur,1159,México,259.376,0.0,259.376,259.376,,259.376
1097,7501123018031,1.0,268.82,Baja California Sur,1159,México,213.556,0.0,213.556,213.556,,213.556
1097,7501299306840,1.0,243.18,Baja California Sur,1159,México,205.7956,0.0,205.7956,205.7956,,205.7956
1097,650240010507,1.0,107.05,Baja California Sur,1152,México,95.4141,0.0,95.4141,95.4141,,95.4141
1097,7502213042738,1.0,92.65,Baja California Sur,1152,México,41.8952,0.0,41.8952,41.8952,,41.8952
1097,7509546039152,1.0,16.48,Baja California Sur,1152,México,14.8345,0.0,14.8345,14.8345,,14.8345
1182,7501314701353,5.0,738.3,CDMX,1159,México,737.551,0.0,737.551,3687.755,,3687.755
1182,7501124103248,11.0,304.44,CDMX,1159,México,295.4272,0.0,295.4272,3249.6992000000005,,3249.6992000000005
1517,7503007822635,1.0,3276.06,CDMX,1156,México,3246.41,0.0,3246.41,3246.41,,3246.41
1183,7501328979106,2.0,1643.93,CDMX,1156,México,1589.74,0.0,1589.74,3179.48,,3179.48
1517,5391189310673,3.0,770.12,CDMX,1156,México,726.53,0.0,726.53,2179.59,,2179.59
1517,7501300450661,2.0,816.25,CDMX,1156,México,781.25,0.0,781.25,1562.5,,1562.5
1311,7501098611329,3.0,745.94,CDMX,1164,México,499.0,0.0,499.0,1497.0,,1497.0
1182,7501300421555,10.0,136.88,CDMX,1159,México,136.1085,0.0,136.1085,1361.085,,1361.085
1114,7501082243376,1.0,1998.2,CDMX,1159,México,1326.576,0.0,1326.576,1326.576,,1326.576
1311,650240017094,23.0,56.76,CDMX,1159,México,56.7008,0.0,56.7008,1304.1184,,1304.1184
1517,3594454400846,2.0,651.67,CDMX,1156,México,614.78,0.0,614.78,1229.56,,1229.56
1192,7502216804401,20.0,90.85,CDMX,1150,México,54.389,0.0,54.389,1087.78,,1087.78
1114,7501318685499,1.0,2121.57,CDMX,1153,México,900.0,0.0,900.0,900.0,,900.0
1182,7501001116187,10.0,88.767,CDMX,1152,México,88.7669,0.0,88.7669,887.6690000000001,,887.6690000000001
1311,650240010712,8.0,125.43,CDMX,1152,México,110.6734,0.0,110.6734,885.3872,,885.3872
1790,7501094917012,1.0,1055.27,CDMX,1153,México,770.0,0.0,770.0,770.0,,770.0
1114,7501287620507,2.0,602.98,CDMX,1153,México,380.0,0.0,380.0,760.0,,760.0
1311,7501314702640,2.0,329.85,CDMX,1152,México,308.1842,0.0,308.1842,616.3684,,616.3684
1517,7891317027506,1.0,1055.96,CDMX,1153,México,605.0,0.0,605.0,605.0,2.0,605.0
1590,7501328979564,1.0,923.98,CDMX,1153,México,500.0,0.0,500.0,500.0,,500.0
1182,7501842901003,10.0,52.0,CDMX,1150,México,46.5119,0.0,46.5119,465.11899999999997,,465.11899999999997
1311,7501056340131,12.0,36.55,CDMX,1152,México,33.9738,0.0,33.9738,407.68559999999997,,407.68559999999997
2199,7501089804327,1.0,420.44,CDMX,1152,México,395.7802,0.0,395.7802,395.7802,2.0,395.7802
1311,7501089809568,1.0,523.72,CDMX,1164,México,365.0,0.0,365.0,365.0,,365.0
1311,7501123014705,1.0,435.97,CDMX,1150,México,287.5142,0.0,287.5142,287.5142,,287.5142
1183,7501825300946,2.0,136.79,CDMX,1150,México,108.9396,0.0,108.9396,217.8792,,217.8792
1192,7501048621408,10.0,24.73,CDMX,1150,México,20.9171,0.0,20.9171,209.17100000000002,,209.17100000000002
1748,7501258205221,6.0,198.49,Chiapas,1152,México,192.2119,0.0,192.2119,1153.2714,,1153.2714
1748,7501088504136,2.0,250.23,Chiapas,1156,México,242.95,0.0,242.95,485.9,,485.9
1750,7501314704644,1.0,324.61,Chiapas,1156,México,312.36,0.0,312.36,312.36,,312.36
1748,7501001116200,2.0,105.51,Chiapas,1159,México,102.7848,0.0,102.7848,205.5696,,205.5696
1750,7502009745010,4.0,52.66,Chiapas,1159,México,47.328,0.0,47.328,189.312,,189.312
1749,7501299307830,2.0,83.78,Chiapas,1159,México,67.512,0.0,67.512,135.024,,135.024
1748,7501022103166,2.0,56.97,Chiapas,1150,México,56.7336,0.0,56.7336,113.4672,,113.4672
1748,7502009744440,2.0,56.59,Chiapas,1152,México,55.2014,0.0,55.2014,110.4028,,110.4028
1750,7509546073767,2.0,54.36,Chiapas,1156,México,53.8,0.0,53.8,107.6,,107.6
1749,714908100051,2.0,58.46,Chiapas,1150,México,52.772,0.0,52.772,105.544,,105.544
1748,7501075721157,2.0,120.0,Chiapas,1150,México,50.3811,0.0,50.3811,100.7622,,100.7622
1748,7503003406310,20.0,5.24,Chiapas,1150,México,4.9665,0.0,4.9665,99.33,,99.33
1749,7502211789284,3.0,27.39,Chiapas,1150,México,27.2696,0.0,27.2696,81.8088,,81.8088
1750,7791293025803,2.0,45.53,Chiapas,1152,México,39.9155,0.0,39.9155,79.831,,79.831
1750,7791293025810,2.0,45.09,Chiapas,1152,México,39.9037,0.0,39.9037,79.8074,,79.8074
1749,7501027278487,3.0,21.66,Chiapas,1152,México,18.9698,0.0,18.9698,56.9094,,56.9094
1749,7509546058955,1.0,56.98,Chiapas,1156,México,52.12,0.0,52.12,52.12,,52.12
1749,759684154102,2.0,13.0,Chiapas,1151,Chiapas,12.28,0.0,12.28,24.56,,24.56
1750,7501022105276,1.0,20.9,Chiapas,1159,México,20.6364,0.0,20.6364,20.6364,,20.6364
1749,7501022150412,1.0,17.34,Chiapas,1159,México,16.3212,0.0,16.3212,16.3212,,16.3212
2087,7501299303047,10.0,51.9,Coahuila de Zaragoza,1152,México,42.9423,0.0,42.9423,429.423,2.0,429.423
2087,7506022304810,10.0,20.75,Coahuila de Zaragoza,1152,México,19.9742,0.0,19.9742,199.742,2.0,199.742
2087,7502216794993,10.0,30.87,Coahuila de Zaragoza,1150,México,11.6886,0.0,11.6886,116.886,,116.886
2087,7502009744426,3.0,37.8,Coahuila de Zaragoza,1159,México,25.52,0.0,25.52,76.56,,76.56
2087,7502009747328,1.0,67.8,Coahuila de Zaragoza,1152,México,66.4723,0.0,66.4723,66.4723,2.0,66.4723
1710,7503001007663,50.0,13.52,Colima,1152,México,12.8591,0.0,12.8591,642.955,,642.955
1710,7501080912083,4.0,127.04,Colima,1159,México,121.0692,0.0,121.0692,484.2768,,484.2768
1710,7501095452505,2.0,115.05,Colima,1152,México,104.1284,0.0,104.1284,208.2568,,208.2568
1710,7502216930599,1.0,243.96,Colima,1159,México,204.16,0.0,204.16,204.16,,204.16
1710,650240039706,1.0,178.22,Colima,1152,México,157.2384,0.0,157.2384,157.2384,,157.2384
1710,7501314704156,2.0,64.53,Colima,1150,México,62.0928,0.0,62.0928,124.1856,,124.1856
1710,7501122969808,1.0,167.28,Colima,1159,México,107.35,0.0,107.35,107.35,,107.35
1710,7501095409059,1.0,96.47,Colima,1156,México,90.35,0.0,90.35,90.35,,90.35
