point_of_sale_id,vendor_id,status
1739,1142,0
1564,1142,1
835,1154,1
637,1154,0
1478,1156,0
1478,1155,1
1478,1159,0
1478,1142,0
1478,1148,1
1478,1165,2
1478,1152,1
1478,1164,1
1478,1150,0
1478,1161,1
1478,1160,1
1478,1157,1
1478,1141,1
1478,1151,0
1478,1153,1
1478,1162,1
1478,1158,0
1478,1163,1
2011,1156,0
2011,1150,0
2011,1153,0
2011,1151,0
2011,1141,1
1238,1152,1
2054,1156,0
2054,1159,0
1374,1152,1
1588,1152,1
2013,1152,1
29,1154,0
877,1154,0
1114,1152,1
1238,1163,0
1102,1152,1
1183,1152,1
428,1154,0
660,1154,0
2041,1154,0
1170,1152,1
1650,1152,1
1773,1152,1
2011,1152,1
1599,1152,1
1650,1141,0
1650,1153,1
1773,1153,1
721,1152,1
721,1163,0
721,1157,1
721,1158,2
721,1150,1
721,1160,1
721,1159,1
721,1156,1
721,1153,1
722,1152,1
722,1163,0
722,1157,1
722,1158,2
722,1150,1
722,1160,1
722,1159,1
722,1153,1
722,1156,0
724,1152,1
724,1163,0
724,1157,1
724,1158,2
724,1150,1
724,1160,1
724,1159,1
724,1156,0
724,1153,1
725,1152,1
725,1163,0
725,1157,1
725,1158,2
725,1150,1
725,1160,1
725,1159,1
725,1156,0
725,1153,1
1114,1163,1
1114,1157,1
1114,1158,2
1114,1150,1
1114,1160,1
1114,1159,1
1114,1156,1
1114,1153,1
1650,1163,0
2056,1155,0
2056,1142,0
2056,1156,1
2056,1159,1
2056,1148,0
2056,1165,0
2056,1152,0
2056,1164,0
2056,1150,0
2056,1161,0
2056,1160,0
2056,1157,0
2056,1141,0
2056,1163,0
2056,1151,0
2056,1153,1
2056,1162,0
2056,1158,0
1877,1154,1
2042,1154,1
1103,1157,1
2061,1154,0
1097,1152,1
1650,1164,1
1170,1164,1
2063,1152,1
2054,1148,2
1366,1159,0
1366,1155,1
1366,1156,1
1366,1148,2
1366,1152,1
1366,1164,1
1366,1165,2
1366,1142,0
1366,1150,0
1366,1160,1
1366,1141,1
1366,1163,0
1366,1157,1
1366,1161,0
1366,1151,0
1366,1162,1
1366,1153,0
2054,1152,2
1072,1154,0
1110,1154,1
722,1151,0
722,1141,1
724,1141,1
724,1151,0
1183,1159,1
1183,1150,1
1183,1141,1
1183,1151,0
1183,1153,1
1183,1163,1
1238,1156,1
1238,1157,1
2054,1150,1
2054,1157,1
2054,1141,1
2054,1151,0
2054,1153,0
1183,1158,2
1183,1156,0
1238,1159,1
1182,1156,1
1182,1159,1
1182,1150,1
1182,1161,1
1182,1160,1
1182,1157,1
1182,1141,1
1182,1163,1
1182,1151,0
1182,1153,1
1182,1158,2
1192,1159,1
1192,1150,1
1192,1153,1
1192,1158,2
1790,1159,1
1790,1150,1
1790,1153,1
2014,1152,1
2013,1150,1
2025,1154,0
2044,1154,0
1361,1150,1
1361,1159,1
1361,1152,1
1182,1164,1
1590,1152,1
1590,1161,0
1616,1150,1
1616,1161,0
1311,1161,0
1610,1164,1
1692,1152,1
2078,1151,1
1524,1152,0
1729,1163,0
1729,1161,1
2020,1164,1
2020,1159,1
1715,1161,1
1790,1152,1
1708,1152,0
1445,1152,1
2074,1152,2
2086,1141,1
1238,1161,1
1715,1150,1
1715,1164,1
2075,1152,1
1224,1164,0
1800,1152,1
2008,1152,2
2008,1161,1
2011,1157,1
2075,1150,1
2075,1161,1
2075,1163,1
1205,1152,2
2091,1164,1
2091,1161,1
2091,1152,1
1361,1164,1
1361,1161,1
1361,1160,1
2026,1154,0
2013,1164,1
1715,1152,2
2110,1152,1
2110,1150,1
2110,1161,1
2110,1164,1
2103,1163,2
1170,1161,1
2103,1150,1
2013,1159,1
2106,1154,0
2112,1164,1
2112,1163,0
2112,1159,1
2049,1161,1
2114,1164,1
2114,1150,1
2114,1159,1
2114,1152,2
2114,1160,1
2114,1161,1
2114,1163,1
1727,1152,1
2078,1152,1
1182,1152,1
1192,1152,1
1610,1152,1
1422,1152,1
1446,1152,1
1101,1152,1
1098,1152,1
1238,1164,1
1824,1164,1
1823,1164,1
1825,1164,1
1103,1150,1
1729,1160,1
1592,1162,2
2120,1152,1
2120,1164,1
2120,1141,1
1824,1152,1
2122,1164,0
2122,1152,2
1325,1152,1
1325,1150,1
1238,1150,1
1824,1150,1
1650,1150,1
2085,1152,2
2075,1159,1
2085,1161,1
2123,1164,1
2123,1150,1
2049,1152,1
2049,1164,1
2049,1150,1
2049,1141,1
2075,1164,1
1241,1164,1
1729,1150,1
1710,1164,1
2096,1152,1
2096,1164,1
2096,1150,1
2097,1152,1
2097,1164,1
2097,1150,1
1739,1161,0
2120,1153,1
2078,1164,1
2078,1150,1
2063,1150,1
2063,1161,1
2136,1163,1
2136,1159,0
2138,1152,1
1681,1152,1
1680,1152,1
1679,1152,1
1682,1152,1
2067,1152,1
1170,1160,1
1170,1150,1
2135,1152,1
2136,1161,1
